bom_id,subsystem,item,function,band,selection,selection_posture,notes
IXB-S1-001,S1,dual_redundant_brushless_circulation_blowers,maintain_closed_loop_gas_circulation,B2,Required,compact_high_reliability_blower_pair_with_independent_drive_paths,dual_path_supports_fail_operational_posture
IXB-S1-002,S1,co2_removal_cartridge_assembly,remove_co2_from_closed_loop,B2,Required,RCA_style_amine_swing_bed_or_equivalent_backpack_class_lane,baseline_favors_suit_relevant_lane
IXB-S1-003,S1,humidity_removal_condensate_interface_block,remove_water_from_loop_and_feed_S4,B2,Required,integrated_condensing_interface_or_humidity_extraction_stage,must_connect_honestly_into_water_accounting
IXB-S1-004,S1,breathing_gas_manifold_block,distribute_return_gas_conditioned_gas_and_o2_makeup,B3,Required,custom_manifold_assembly_in_low_leak_materials,short_internal_gas_path_is_package_driver
IXB-S1-005,S1,oxygen_partial_pressure_sensing_set,monitor_breathable_gas_condition,B2,Required,triplex_o2_sensing_with_voting_cross_check_logic,sensor_diversity_preferred_later
IXB-S1-006,S1,co2_sensing_set,monitor_scrubber_performance_and_crew_hazard_state,B2,Required,dual_co2_sensors_with_plausibility_checks,needed_for_alerting_and_FDIR
IXB-S1-007,S1,humidity_sensing_set,support_condensate_accounting_and_loop_control,B1,Required,dual_humidity_sensors_in_conditioned_locations,supports_S4_and_thermal_logic
IXB-S1-008,S1,loop_pressure_transducers,monitor_loop_pressure_and_distribution_health,B2,Required,redundant_pressure_transducers_with_protected_sensing_lines,critical_for_leak_fault_detection
IXB-S1-009,S1,isolation_bypass_valve_set,isolate_failed_sections_and_support_fallback_gas_routing,B2,Required,latching_or_normally_safe_valve_set_with_manual_override,key_FDIR_item
IXB-S1-010,S1,trace_contaminant_placeholder_volume,future_compatible_contaminant_control_slot,B3,Deferred,reserved_package_space_only_phase_1,do_not_fake_final_chemistry
IXB-S2-001,S2,primary_oxygen_pressure_vessel_set,nominal_stored_o2_supply,B2,Required,compact_composite_pressure_vessel_pair_or_equivalent,exact_geometry_left_open
IXB-S2-002,S2,isolated_emergency_oxygen_vessel,protected_last_line_oxygen_reserve,B2,Required,separately_valved_and_physically_isolated_reserve_vessel,may_be_independent_bottle_or_isolated_chamber
IXB-S2-003,S2,primary_regulator_stage,reduce_primary_storage_pressure_to_controlled_delivery,B2,Required,dual_stage_or_functionally_equivalent_regulated_path,stable_makeup_control_required
IXB-S2-004,S2,emergency_regulator_stage,provide_simplified_reserve_oxygen_delivery,B2,Required,independent_regulator_path_with_minimal_dependency_chain,emergency_logic_simpler_than_nominal
IXB-S2-005,S2,check_valve_and_backflow_isolation_set,prevent_backflow_and_reserve_contamination,B1,Required,oxygen_compatible_valve_set,simple_part_high_consequence
IXB-S2-006,S2,oxygen_rated_shutoff_selector_valve_set,isolate_primary_vs_emergency_flow_paths,B2,Required,latching_or_protected_selection_valves,supports_reserve_protection_policy
IXB-S2-007,S2,pressure_sensing_package,track_tank_and_regulated_pressure,B2,Required,redundant_pressure_sensors_across_primary_and_reserve_lines,needed_for_state_estimation
IXB-S2-008,S2,oxygen_compatible_tubing_and_fittings,carry_regulated_oxygen_safely,B1,Required,oxygen_cleaned_tubing_and_fittings_metal_preferred,materials_compatibility_matters
IXB-S2-009,S2,oxygen_makeup_metering_valve,controlled_o2_injection_into_loop,B2,Required,fine_metering_oxygen_compatible_valve,tied_into_S1_S7_control_loop
IXB-S3-001,S3,pem_electrolyzer_stack,generate_oxygen_from_conditioned_water,B2,Required,compact_PEM_stack_for_bounded_rescue_extension,must_stay_subordinate_to_package_and_power_reality
IXB-S3-002,S3,electrolyzer_power_stage,controlled_dc_supply_for_pem_stack,B2,Required,isolated_controlled_current_power_electronics_tied_to_S6,noisy_load_segmentation_required
IXB-S3-003,S3,water_feed_pump_metering_stage,meter_conditioned_water_into_PEM_stack,B2,Required,small_controlled_feed_stage_with_fault_detection,dry_run_and_blockage_logic_required
IXB-S3-004,S3,gas_liquid_separator,separate_produced_gases_from_residual_water,B2,Required,compact_compatible_separator_stage,required_for_sane_routing
IXB-S3-005,S3,oxygen_side_accumulator_conditioning_volume,smooth_regenerated_o2_before_injection,B3,Preferred,small_buffer_volume_with_pressure_protection,avoids_unstable_pulsed_injection
IXB-S3-006,S3,hydrogen_vent_path_and_check_hardware,safely_dispose_of_h2_byproduct,B2,Required,controlled_vent_manifold_with_check_isolation_hardware,h2_not_credited_as_bonus_fuel
IXB-S3-007,S3,water_quality_sensing_permissive_logic,prevent_dirty_water_from_being_counted_blindly,B2,Preferred,conductivity_or_contamination_proxy_with_interlock,honest_accounting_feature
IXB-S3-008,S3,electrolyzer_thermal_interface_plate,remove_PEM_waste_heat_into_S5,B2,Required,cold_plate_or_conduction_interface,S3_heat_burden_must_be_counted
IXB-S3-009,S3,oxygen_side_purity_monitoring_placeholder,future_quality_verification_path,B3,Deferred,reserve_interface_and_package_volume_only,not_needed_to_fake_maturity
IXB-S4-001,S4,condensate_separator,extract_liquid_water_from_humid_loop,B2,Required,compact_separator_compatible_with_S1_flow_regime,ties_loop_to_water_accounting
IXB-S4-002,S4,condensate_collection_reservoir,store_recovered_water_before_conditioning,B1,Required,sealed_serviceable_reservoir_with_level_sensing,real_storage_path_required
IXB-S4-003,S4,water_conditioning_cartridge,filter_condition_recovered_water_for_reuse,B2,Required,particulate_ionic_compatibility_conditioning_path,exact_chemistry_left_open
IXB-S4-004,S4,sterile_emergency_makeup_water_reserve,guaranteed_clean_feed_for_bounded_regeneration,B1,Required,isolated_clean_water_reserve,prevents_regen_claims_from_depeding_entirely_on_condensate
IXB-S4-005,S4,level_sensing_package,monitor_recovered_and_reserve_water_state,B1,Required,redundant_level_sensing_or_mass_estimation,supports_survivability_model
IXB-S4-006,S4,water_routing_valves_and_tubing,direct_water_between_recovery_conditioning_storage_and_PEM,B1,Required,chemically_compatible_low_leak_routing_set,must_remain_separated_from_quiet_electronics
IXB-S4-007,S4,drain_service_interface,maintenance_and_inspection_support,B1,Required,simple_serviceable_access_path,sustainment_seriousness_item
IXB-S4-008,S4,water_quality_sampling_point,enable_test_and_maintenance_evidence,B1,Preferred,service_port_sampling_path,strengthens_S9_readiness_layer
IXB-S5-001,S5,cold_plate_conduction_plate_set,collect_heat_from_battery_PMU_PEM_and_hotspots,B2,Required,compact_plate_network_bonded_to_major_heat_sources,first_serious_thermal_backbone_item
IXB-S5-002,S5,heat_transport_loop_or_equivalent,move_heat_to_rejection_region,B3,Required,compact_pumped_loop_or_equivalent_controlled_transport,exact_implementation_deferred_function_not
IXB-S5-003,S5,heat_exchanger_interface_block,couple_life_support_water_and_thermal_burdens,B3,Preferred,compact_exchanger_block_integrated_with_handing,high_leverage_high_packaging_sensitivity
IXB-S5-004,S5,thermal_buffer_element,absorb_short_spikes_and_smooth_transitions,B2,Preferred,PCM_or_equivalent_bounded_buffer,helps_derate_before_fail
IXB-S5-005,S5,exterior_radiator_rejection_surface_integration,reject_heat_to_environment,B3,Required,shell_integrated_rejection_area_with_honest_area_accounting,must_fit_worn_envelope
IXB-S5-006,S5,rescue_only_deployable_thermal_aid,extend_rejection_capability_in_contingency,B3,Optional,compact_foldout_shade_or_radiator_assist,only_if_packaging_proves_credible
IXB-S5-007,S5,temperature_sensor_set,monitor_hot_zones_and_thermal_margins,B1,Required,distributed_temperature_sensing_on_critical_zones,supports_thermal_derate_logic
IXB-S5-008,S5,insulation_package,reduce_unwanted_thermal_coupling_and_protect_reserves,B1,Required,MLI_or_equivalent_localized_insulation_strategy,important_around_reserve_o2_and_control_bay
IXB-S6-001,S6,primary_battery_pack,main_stored_electrical_energy,B2,Required,high_specific_energy_rechargeable_pack_with_conservative_safety_posture,exact_chemistry_not_locked
IXB-S6-002,S6,battery_management_system,monitor_and_protect_battery,B2,Required,BMS_with_cell_monitoring_fault_reporting_and_controlled_disconnects,must_integrate_with_S7
IXB-S6-003,S6,supercapacitor_pulse_buffer_module,ride_through_transients_and_pulsed_loads,B2,Required,compact_buffered_module_with_controlled_precharge,donor_logic_kept_fantasy_removed
IXB-S6-004,S6,power_management_unit,route_regulate_and_protect_power_sources_and_loads,B3,Required,custom_PMU_with_segmented_rails_and_survivability_logic,central_electrical_architecture_item
IXB-S6-005,S6,ideal_diode_ORing_stage,source_combining_without_dangerous_backfeed,B2,Required,ideal_diode_controller_or_equivalent_protected_ORing,core_retained_donor_feature
IXB-S6-006,S6,precharge_network,manage_inrush_into_buffered_buses,B1,Required,resistor_switch_controller_precharge_path,non_negotiable_with_supercaps
IXB-S6-007,S6,branch_protection_set,protect_bus_segments_by_criticality_tier,B1,Required,fuse_electronic_fuse_resettable_protection_mix,branch_isolation_is_survival_feature
IXB-S6-008,S6,dump_resistor_safe_discharge_path,safely_bleed_stored_electrical_energy,B1,Required,controlled_dump_path_with_service_safe_access,important_for_faults_and_maintenance
IXB-S6-009,S6,isolated_sensor_rail_converter,keep_quiet_sensing_alive_through_noisy_bus_events,B2,Required,low_noise_isolated_or_tightly_filtered_rail,strong_TunerCore_carryover
IXB-S6-010,S6,critical_control_rail_converter,preserve_S7_minimum_awareness_and_logging,B2,Required,hardened_low_power_control_rail,supports_safe_hold_and_blackbox
IXB-S6-011,S6,rescue_solar_interface_controller,accept_optional_rescue_solar_input,B2,Preferred,MPPT_capable_controlled_input_stage,rescue_only_augmentation_not_guaranteed
IXB-S6-012,S6,rescue_solar_blanket,supplemental_sunlit_power,B2,Optional,compact_high_efficiency_foldout_array_sized_for_bounded_support,only_counts_when_scenario_allows
IXB-S6-013,S6,dockside_habitat_recharge_interface,recharge_battery_and_support_turnaround,B1,Required,protected_external_service_connector_path,serious_operations_item
IXB-S6-014,S6,reverse_polarity_TVS_surge_protection,protect_against_wiring_and_transient_faults,B1,Required,distributed_protection_set,small_parts_major_seriousness
IXB-S7-001,S7,supervisory_controller,run_state_machine_and_command_logic,B2,Required,deterministic_embedded_controller_with_strong_watchdog_support,bounded_logic_only
IXB-S7-002,S7,independent_watchdog_safety_supervisor,detect_stuck_faulted_primary_control,B2,Required,separate_safety_monitor_or_hardware_watchdog_chain,prevents_single_controller_wishful_thinking
IXB-S7-003,S7,blackbox_event_logger,preserve_fault_event_history,B1,Required,nonvolatile_event_log_store_with_timestamp_source,strong_Singularis_carryover
IXB-S7-004,S7,sensor_conditioning_AD_front_end,acquire_critical_sensor_data_cleanly,B2,Required,isolated_filtered_front_end_modules,must_survive_power_noise_environment
IXB-S7-005,S7,crew_alert_package,warn_crew_of_oxygen_co2_thermal_and_power_states,B1,Required,simple_visual_auditory_haptic_alert_bundle,must_remain_interpretable_under_stress
IXB-S7-006,S7,crew_emergency_controls,allow_rescue_entry_acknowledge_alarms_and_isolation_behaviors,B1,Required,gloved_use_capable_controls_with_guarded_logic,simple_and_explicit
IXB-S7-007,S7,service_maintenance_data_port,export_logs_and_readiness_evidence,B1,Required,protected_service_interface,supports_S9
IXB-S7-008,S7,timebase_event_sequencing_source,support_reconstructable_logs,B1,Required,stable_local_timing_source,useful_for_post_event_review
IXB-S7-009,S7,redundant_power_fault_latching_path,preserve_major_fault_posture_even_if_rich_UI_dies,B2,Preferred,hardwired_or_low_level_latch_path,supports_clear_safe_hold
IXB-S8-001,S8,primary_structural_shell_panels,carry_loads_and_define_worn_envelope,B3,Required,lightweight_high_strength_shell_construction,exact_material_stack_not_finalized
IXB-S8-002,S8,internal_partition_frame_set,separate_hazard_zones_and_mount_subsystems,B3,Required,metallic_or_composite_internal_support_frame_with_isolated_bays,core_seriousness_item
IXB-S8-003,S8,puncture_impact_mitigation_liner,improve_survivability_around_tanks_and_power_bay,B2,Preferred,conservative_STF_based_or_equivalent_protective_liner,no_invulnerability_claims
IXB-S8-004,S8,protected_routing_channels,shield_gas_water_and_wire_runs,B2,Required,dedicated_routed_channels_with_separation_rules,supports_containment_and_serviceability
IXB-S8-005,S8,thermal_isolation_barriers,reduce_unwanted_thermal_migration_between_bays,B1,Required,local_barriers_and_insulation_inserts,reserve_o2_and_control_bay_benefit
IXB-S8-006,S8,service_panels_access_covers,enable_maintenance_without_destructive_disassembly,B1,Required,bounded_access_features_sized_to_package_discipline,sustainment_seriousness
IXB-S8-007,S8,external_rescue_deployable_mounts,stow_and_support_optional_solar_thermal_aids,B3,Optional,low_profile_shell_integrated_mounts,only_if_later_justified
IXB-S8-008,S8,shock_vibration_mounting_set,reduce_damage_transfer_into_control_and_sensor_bay,B1,Preferred,localized_isolators_for_sensitive_electronics,supports_survivability_and_data_integrity
IXB-S9-001,S9,readiness_state_database_record_model,track_calibration_blockers_inspections_and_life_limited_parts,B1,Required,software_side_structured_data_model,offboard_system_item
IXB-S9-002,S9,event_ingestion_pipeline,pull_blackbox_and_service_logs_into_sustainment_record,B1,Required,deterministic_import_path_with_audit_trail,direct_donor_carryover
IXB-S9-003,S9,go_no_go_rules_engine,derive_readiness_from_blockers_and_evidence,B1,Required,controlled_transition_logic,prevents_looks_okay_to_me_operations_culture
IXB-S9-004,S9,maintenance_scheduling_logic,track_service_intervals_and_part_replacement_cadence,B1,Required,rules_driven_schedule_model,supports_life_limited_components
IXB-S9-005,S9,calibration_evidence_package,prove_sensor_service_status_before_EVA,B1,Required,evidence_records_not_verbal_memory,serious_operations_posture
IXB-S9-006,S9,fault_review_and_anomaly_workflow,formalize_post_event_review_and_corrective_action,B1,Required,explicit_workflow_state_model,keeps_degradation_from_hiding
